Time,Conc
0.001,0.488
0.251,0.664
0.501,0.897
0.751,1.202
1.001,1.599
1.251,2.11
1.501,2.762
1.751,3.589
2.001,4.626
2.251,5.916
2.501,7.508
2.751,9.454
3.001,11.811
3.251,14.641
3.501,18.009
3.751,21.978
4.001,26.614
4.251,31.976
4.501,38.12
4.751,45.09
5.001,52.921
5.251,61.628
5.501,71.208
5.751,81.638
6.001,92.867
6.251,104.819
6.501,117.388
6.751,130.441
7.001,143.818
7.251,157.332
7.501,170.777
7.751,183.928
8.001,196.551
8.251,208.405
8.501,219.255
8.751,228.874
9.001,237.056
9.251,243.62
9.501,248.417
9.751,251.337
10.001,252.313
10.251,251.322
10.501,248.386
10.751,243.574
11.001,236.997
11.251,228.802
11.501,219.172
11.751,208.314
12.001,196.453
12.251,183.825
12.501,170.67
12.751,157.224
13.001,143.71
13.251,130.335
13.501,117.285
13.751,104.721
14.001,92.774
14.251,81.551
14.501,71.128
14.751,61.554
15.001,52.855
15.251,45.031
15.501,38.067
15.751,31.93
16.001,26.574
16.251,21.944
16.501,17.98
16.751,14.617
17.001,11.791
17.251,9.437
17.501,7.494
17.751,5.905
18.001,4.617
18.251,3.581
18.501,2.757
18.751,2.105
19.001,1.595
19.251,1.199
19.501,0.895
19.751,0.662
20.001,0.486
20.251,0.355
20.501,0.256
20.751,0.184
21.001,0.131
21.251,0.092
21.501,0.065
21.751,0.045
22.001,0.031
22.251,0.021
22.501,0.014
22.751,0.01
23.001,0.007
23.251,0.004
23.501,0.003
23.751,0.002
24.001,0.001
24.251,0.001
24.501,0.0
24.751,0.0
25.001,0.0
25.251,0.0
25.501,0.0
25.751,0.0
26.001,0.0
26.251,0.0
26.501,0.0
26.751,0.0
27.001,0.0
27.251,0.0
27.501,0.0
27.751,0.0
28.001,0.0
28.251,0.0
28.501,0.0
28.751,0.0
29.001,0.0
29.251,0.0
29.501,0.0
29.751,0.0
30.001,0.0
