tottime,NOX.ts,OZONE.ts,BARO.ts,RELH.ts,DEWPT.ts,TEMP.ts,SRAD.ts,WSPEED.ts,WDIR.ts
1/1/2017 0:00,16.4571,3.9949,1010.83,89.46,63.0142,66.2158,0,1.79924,206.81
1/1/2017 1:00,13.92407,2.70302,1010.16,90.7717,62.6108,65.4292,0,2.14573,224.387
1/1/2017 2:00,11.39104,5.41001,1010.39,91.3017,62.4425,65.0717,0,2.57577,202.498
1/1/2017 3:00,8.85801,7.62012,1011.24,91.8733,62.5842,65.0408,0,1.02421,120.443
1/1/2017 4:00,8.29567,4.89723,1011.46,92.2408,62.3417,64.6542,0,1.23521,163.555
1/1/2017 5:00,8.10822,3.72857,1011.51,91.6392,62.145,64.64,0,0.82856,102.443
1/1/2017 6:00,10.6627,1.78876,1011.9,92.1508,62.1867,64.5267,0,1.98223,139.811
1/1/2017 7:00,16.6654,1.15673,1012.36,91.8842,62.2558,64.6767,0.00452,1.18919,136.764
1/1/2017 8:00,21.7876,1.90006,1012.78,91.3592,62.3425,64.9392,0.03538,0.99743,147.168
1/1/2017 9:00,23.7841,2.15446,1013.54,90.2342,62.4,65.365,0.05267,0.83353,226.84
1/1/2017 10:00,16.5172,8.06135,1013.65,86.8483,62.23,66.3142,0.17309,1.8678,130.762
1/1/2017 11:00,10.0568,15.9041,1013.11,82.6958,62.2892,67.7383,0.28913,2.44403,148.817
1/1/2017 12:00,3.98,26.1477,1011.77,75.78,61.6875,69.7783,0.61663,2.17675,270.285
1/1/2017 13:00,4.62517,28.5327,1010.68,71.3617,61.8575,71.6792,0.46715,1.18101,136.978
1/1/2017 14:00,3.85794,31.4623,1009.95,68.5192,62.1525,73.1658,0.35832,2.4581,66.2329
1/1/2017 15:00,2.58504,33.3266,1009.97,67.7467,62.645,73.8817,0.27196,2.09219,84.5627
1/1/2017 16:00,2.46298,30.0909,1010.69,73.52,64.4017,73.3275,0.11182,2.28836,93.7752
1/1/2017 17:00,6.93558,23.8978,1010.97,78.6292,64.9217,71.955,0.01678,3.66573,96.6015
1/1/2017 18:00,8.90597,21.3101,1011.17,82.4875,64.3975,70.0242,0,5.92358,119.632
1/1/2017 19:00,7.66794,21.1312,1011.27,83.3317,63.5008,68.7583,0,5.53552,127.534
1/1/2017 20:00,7.2756,18.8138,1011.2,87.8917,64.0033,67.755,0,3.86587,120.233
1/1/2017 21:00,22.6071,4.40035,1011.29,90.0225,63.5342,66.5658,0,3.66982,116.664
1/1/2017 22:00,29.0545,2.19951,1011.08,91.9608,64.2533,66.6433,0,3.46413,117.114
1/1/2017 23:00,38.1261,0.7261,1011.22,93.295,64.1375,66.15,0,3.49257,95.9225
1/2/2017 0:00,30.1617,0.74333,1011.23,93.6883,64.7533,66.5875,0,2.12001,108.442
1/2/2017 1:00,16.4199,4.33277,1010.42,93.6667,66.32,68.1475,0,2.41624,124.679
1/2/2017 2:00,3.75478,10.1204,1009.95,94.0367,68.4242,70.1733,0,4.05711,123.762
1/2/2017 3:00,0.39669,13.9722,1009.45,93.7467,69.8442,71.7133,0,6.56527,147.794
1/2/2017 4:00,0.3018775,16.5202,1008.51,89.4267,69.695,73.0333,0,9.59097,150.97
