PRISM Time Series Data
Location:  Lat: 35.3667   Lon: -101.3947   Elev: 3458ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2008-01-01 - 2020-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2021-Jul-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
2008-01-01,0.00,12.2,26.8,41.5,9.2,0.56,7.11
2008-01-02,0.00,9.3,22.5,35.7,5.5,0.43,5.29
2008-01-03,0.00,10.9,26.5,42.1,9.0,0.64,6.97
2008-01-04,0.00,25.0,38.4,51.7,12.7,2.29,10.36
2008-01-05,0.00,34.6,48.4,62.3,25.2,2.83,14.27
2008-01-06,0.00,40.9,54.5,68.1,31.7,3.09,17.56
2008-01-07,0.00,38.7,55.1,71.5,32.8,1.68,20.56
2008-01-08,0.00,25.6,45.3,65.0,32.1,0.25,15.44
2008-01-09,0.00,24.4,35.1,45.8,18.0,0.70,7.63
2008-01-10,0.00,28.6,45.4,62.2,21.8,1.01,15.42
2008-01-11,0.00,26.3,37.5,48.8,19.1,0.90,8.44
2008-01-12,0.00,25.3,42.6,59.9,18.7,1.09,14.76
2008-01-13,0.00,20.0,35.8,51.7,16.1,0.77,10.30
2008-01-14,0.00,17.8,34.2,50.7,17.4,0.48,9.30
2008-01-15,0.00,17.7,34.2,50.7,15.0,0.55,9.67
2008-01-16,0.00,23.7,40.4,57.1,20.3,1.13,13.52
2008-01-17,0.00,5.7,18.0,30.2,13.6,0.19,1.77
2008-01-18,0.00,4.8,20.0,35.3,0.9,0.45,5.66
2008-01-19,0.00,6.5,23.4,40.4,11.4,0.12,5.97
2008-01-20,0.00,8.2,24.1,40.1,11.7,0.16,5.89
2008-01-21,0.00,20.5,36.5,52.5,14.1,1.27,11.00
2008-01-22,0.00,10.2,31.3,52.4,17.7,0.21,9.34
