PRISM Time Series Data,
Location:  Lat: 33.5769   Lon: -101.8470   Elev: 3189ft,
Climate variable: tmean,
Spatial resolution: 4km,
Period: 1895-01 - 2020-12,
Dataset: AN81m,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,
Grid Cell Interpolation: On,
Time series generated: 2021-Jun-19,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,
Date,TMEANF
1895-01,36.9
1895-02,33
1895-03,51.5
1895-04,61.6
1895-05,67.8
1895-06,73.9
1895-07,76.7
1895-08,77.9
1895-09,73.5
1895-10,57.2
1895-11,46.3
1895-12,39.7
1896-01,42.2
1896-02,44.3
1896-03,49.3
1896-04,63.6
1896-05,75
1896-06,80.9
1896-07,78.3
1896-08,79.9
1896-09,70.6
1896-10,58.6
1896-11,49
1896-12,44.8
1897-01,33.1
1897-02,46.1
1897-03,51.7
1897-04,59
1897-05,67.5
1897-06,76.2
1897-07,78.7
1897-08,76.1
1897-09,69.8
1897-10,60.4
1897-11,50.9
1897-12,40.1
1898-01,40.7
1898-02,45.5
1898-03,50.6
1898-04,60.2
1898-05,69.2
1898-06,76
1898-07,78.4
1898-08,76.4
1898-09,70
1898-10,61
1898-11,46.3
1898-12,34.8
1899-01,37.5
1899-02,34.3
1899-03,50.4
1899-04,61
1899-05,70.2
1899-06,75.4
1899-07,77.3
1899-08,81.7
1899-09,71.8
1899-10,62.9
1899-11,51.2
1899-12,41.1
1900-01,41.9
1900-02,40.4
1900-03,51.6
1900-04,57.4
1900-05,67.2
1900-06,76.8
1900-07,77.8
1900-08,78.7
1900-09,72.5
1900-10,64.4
1900-11,51
1900-12,42.6
1901-01,45.6
1901-02,40.2
1901-03,51.3
1901-04,58.1
1901-05,68.4
1901-06,78.1
1901-07,80.1
1901-08,79.9
1901-09,72.2
1901-10,64.6
1901-11,52.9
1901-12,41.4
1902-01,41.3
1902-02,44
1902-03,51.5
1902-04,62.8
1902-05,72.1
1902-06,79.6
1902-07,77.3
1902-08,79.7
1902-09,69.8
1902-10,62.6
1902-11,52.4
1902-12,42.7
1903-01,42.5
1903-02,37
1903-03,50.3
1903-04,60.7
1903-05,66.2
1903-06,69.7
1903-07,80.4
1903-08,79.1
1903-09,70.9
1903-10,60.9
1903-11,50.6
1903-12,43.1
1904-01,39.8
1904-02,48.8
1904-03,57.6
1904-04,61
1904-05,69.4
1904-06,75
1904-07,78.3
1904-08,77.3
1904-09,71.8
1904-10,61.6
1904-11,51
1904-12,41.4
1905-01,37.1
1905-02,30.1
1905-03,54.9
1905-04,57.6
1905-05,69.2
1905-06,76.9
1905-07,76.1
1905-08,78.5
1905-09,72.9
1905-10,59
1905-11,50.6
1905-12,37.7
1906-01,41.9
1906-02,43
1906-03,47.3
1906-04,59.2
1906-05,68.1
1906-06,74.9
1906-07,75.4
1906-08,75.2
1906-09,71
1906-10,55.7
1906-11,45.5
1906-12,48.2
1907-01,47.1
1907-02,48.1
1907-03,59.5
1907-04,57.9
1907-05,63.5
1907-06,75.5
1907-07,78.3
1907-08,78.7
1907-09,73.2
1907-10,61.2
1907-11,47
1907-12,43.3
1908-01,42.6
1908-02,44.4
1908-03,56.8
1908-04,59.5
1908-05,67.4
1908-06,77.2
1908-07,75.6
1908-08,76.7
1908-09,70
1908-10,59.6
1908-11,48.8
1908-12,44.1
1909-01,44.5
1909-02,46.5
1909-03,50.5
1909-04,59.6
1909-05,67
1909-06,76.7
1909-07,81.1
1909-08,79.5
1909-09,71.3
1909-10,61.1
1909-11,54.5
1909-12,34.7
1910-01,43.1
1910-02,40.6
1910-03,58.6
1910-04,61.3
1910-05,66.4
1910-06,78.5
1910-07,80.8
1910-08,79
1910-09,75.7
1910-10,61.6
1910-11,51.1
1910-12,41.9
1911-01,47.7
1911-02,44.2
1911-03,55.1
1911-04,60.5
1911-05,69.1
1911-06,80.1
1911-07,77.9
1911-08,78.9
1911-09,76.7
1911-10,60.5
1911-11,45.5
1911-12,35.7
1912-01,36.2
1912-02,40
1912-03,45.7
1912-04,58.4
1912-05,70
1912-06,74
1912-07,81.1
1912-08,79
1912-09,68.8
1912-10,61.5
1912-11,48.4
1912-12,38.2
1913-01,39.1
1913-02,38.2
1913-03,47.3
1913-04,60.1
1913-05,71.4
1913-06,73.4
1913-07,79.2
1913-08,79.9
1913-09,68.3
1913-10,58.7
1913-11,53.2
1913-12,37.3
1914-01,48.2
1914-02,42.4
1914-03,50.5
1914-04,59.5
1914-05,65.5
1914-06,75.9
1914-07,78.7
1914-08,76.8
1914-09,71.4
1914-10,59
1914-11,51.3
1914-12,35.8
1915-01,37.3
1915-02,44.3
1915-03,40.2
1915-04,58.2
1915-05,64.3
1915-06,73.7
1915-07,76.1
1915-08,73.4
1915-09,70.2
1915-10,59.9
1915-11,50.8
1915-12,42.9
1916-01,39.8
1916-02,45.4
1916-03,54.9
1916-04,55.3
1916-05,68
1916-06,76.9
1916-07,78
1916-08,76.3
1916-09,68.4
1916-10,58.9
1916-11,45.8
1916-12,39.5
1917-01,39.6
1917-02,42.9
1917-03,49.1
1917-04,58.6
1917-05,63.5
1917-06,75.9
1917-07,81
1917-08,78.5
1917-09,71.3
1917-10,58.3
1917-11,51.4
1917-12,37.7
1918-01,32.6
1918-02,47.5
1918-03,54.6
1918-04,56.9
1918-05,69.1
1918-06,77.5
1918-07,79.9
1918-08,78.6
1918-09,66.9
1918-10,61.6
1918-11,44.6
1918-12,36.2
1919-01,34.5
1919-02,42.5
1919-03,49.5
1919-04,58.7
1919-05,65.1
1919-06,70.2
1919-07,76.3
1919-08,78.3
1919-09,71.5
1919-10,60.9
1919-11,46.2
1919-12,40.1
1920-01,36.7
1920-02,45.7
1920-03,50.3
1920-04,56.2
1920-05,67.8
1920-06,73.8
1920-07,78.4
1920-08,73.2
1920-09,71.8
1920-10,61.5
1920-11,45.5
1920-12,41.3
1921-01,44.9
1921-02,44.8
1921-03,56.1
1921-04,57.7
1921-05,68.9
1921-06,73
1921-07,78.2
1921-08,79.1
1921-09,74.7
1921-10,62.1
1921-11,52.1
1921-12,46.1
1922-01,37.7
1922-02,43.7
1922-03,49
1922-04,58.3
1922-05,67.4
1922-06,73.4
1922-07,79.7
1922-08,80.4
1922-09,72.8
1922-10,60
1922-11,49.2
1922-12,44.2
1923-01,47.1
1923-02,40.7
1923-03,46.2
1923-04,58.4
1923-05,67.6
1923-06,75.6
1923-07,79.2
1923-08,77.7
1923-09,71.9
1923-10,55.3
1923-11,46.8
1923-12,39.3
1924-01,34.5
1924-02,41.4
1924-03,45.9
1924-04,58.3
1924-05,64.9
1924-06,81
1924-07,79.3
1924-08,80.7
1924-09,69.4
1924-10,61.5
1924-11,52.4
1924-12,37
1925-01,37.4
1925-02,49.4
1925-03,56.6
1925-04,64.7
1925-05,68.2
1925-06,78.9
1925-07,80.8
1925-08,75.4
1925-09,70.6
1925-10,56.8
1925-11,48.5
1925-12,38.7
1926-01,37.2
1926-02,49
1926-03,47.8
1926-04,55
1926-05,66.7
1926-06,75.5
1926-07,77.8
1926-08,77
1926-09,71.7
1926-10,62.5
1926-11,48.4
1926-12,40.1
1927-01,43.4
1927-02,48.9
1927-03,51.7
1927-04,62.6
1927-05,73.7
1927-06,75.3
1927-07,78.9
1927-08,78.8
1927-09,71
1927-10,62.4
1927-11,55.2
1927-12,37.4
1928-01,42.3
1928-02,43.2
1928-03,54.5
1928-04,58
1928-05,68.2
1928-06,78
1928-07,79.2
1928-08,74.8
1928-09,69.7
1928-10,63.5
1928-11,47.2
1928-12,42
1929-01,40.4
1929-02,35.6
1929-03,51.9
1929-04,62.4
1929-05,66.6
1929-06,77.9
1929-07,79.2
1929-08,80.2
1929-09,71
1929-10,61.8
1929-11,42.3
1929-12,43.4
1930-01,30.5
1930-02,50.5
1930-03,48.9
1930-04,65.7
1930-05,67.6
1930-06,76.7
1930-07,80.4
1930-08,80.4
1930-09,75.7
1930-10,60.1
1930-11,49.2
1930-12,38.6
1931-01,41.6
1931-02,46.8
1931-03,46.6
1931-04,56.6
1931-05,65.4
1931-06,78.8
1931-07,79.6
1931-08,77
1931-09,77.5
1931-10,64.6
1931-11,51.7
1931-12,41.3
1932-01,39.6
1932-02,51
1932-03,47.9
1932-04,62.1
1932-05,67.5
1932-06,76.4
1932-07,78.8
1932-08,77.3
1932-09,67.1
1932-10,58.7
1932-11,48.2
1932-12,34.4
1933-01,44.2
1933-02,39.9
1933-03,53.6
1933-04,58.6
1933-05,68.5
1933-06,78.2
1933-07,81.5
1933-08,78.8
1933-09,75.9
1933-10,64.6
1933-11,52.3
1933-12,48
1934-01,42.2
1934-02,45.6
1934-03,51.5
1934-04,62.9
1934-05,71.4
1934-06,81.2
1934-07,83.3
1934-08,81.4
1934-09,73.1
1934-10,66.1
1934-11,53.2
1934-12,44
1935-01,45.9
1935-02,45.2
1935-03,56.7
1935-04,62.1
1935-05,65.3
1935-06,75.2
1935-07,78.8
1935-08,80
1935-09,66.7
1935-10,63.2
1935-11,48.6
1935-12,40.9
1936-01,38.7
1936-02,40.6
1936-03,55.1
1936-04,59.9
1936-05,69.4
1936-06,78.8
1936-07,80.1
1936-08,80.6
1936-09,70.3
1936-10,58
1936-11,47.5
1936-12,44.7
1937-01,36.3
1937-02,44.1
1937-03,47.1
1937-04,60.1
1937-05,70.6
1937-06,76.8
1937-07,80.9
1937-08,80.3
1937-09,72
1937-10,62
1937-11,48.5
1937-12,41.7
1938-01,43.1
1938-02,47.9
1938-03,55.7
1938-04,60.1
1938-05,70.2
1938-06,76
1938-07,78
1938-08,79.2
1938-09,72.7
1938-10,63.8
1938-11,47
1938-12,41.5
1939-01,41.9
1939-02,38.4
1939-03,53.6
1939-04,60.7
1939-05,69.8
1939-06,79.9
1939-07,80.6
1939-08,77.5
1939-09,74.7
1939-10,63.3
1939-11,47.7
1939-12,44.8
1940-01,33.8
1940-02,44
1940-03,54.2
1940-04,60.9
1940-05,69.3
1940-06,74.8
1940-07,82.1
1940-08,77.4
1940-09,73.4
1940-10,63.6
1940-11,48
1940-12,44.5
1941-01,43.1
1941-02,44
1941-03,47
1941-04,58.9
1941-05,68.3
1941-06,73.5
1941-07,77.3
1941-08,77.6
1941-09,71.1
1941-10,62.2
1941-11,50.6
1941-12,44.1
1942-01,39.2
1942-02,43.3
1942-03,50.9
1942-04,60.6
1942-05,68.7
1942-06,77.2
1942-07,78.1
1942-08,76
1942-09,67.6
1942-10,59.2
1942-11,54.2
1942-12,42.9
1943-01,41.6
1943-02,47.7
1943-03,49.5
1943-04,64.8
1943-05,67.5
1943-06,77.2
1943-07,79
1943-08,82.5
1943-09,71.5
1943-10,59.9
1943-11,48.1
1943-12,39.6
1944-01,40.9
1944-02,46
1944-03,50.3
1944-04,59.1
1944-05,68.7
1944-06,78.8
1944-07,79.1
1944-08,79.4
1944-09,70.6
1944-10,61.8
1944-11,50.3
1944-12,38.9
1945-01,41.1
1945-02,45.6
1945-03,54.6
1945-04,57.2
1945-05,71.8
1945-06,77.4
1945-07,77.4
1945-08,78.5
1945-09,72.2
1945-10,58
1945-11,50.8
1945-12,39.4
1946-01,38.2
1946-02,45.9
1946-03,54.3
1946-04,66.6
1946-05,67.5
1946-06,77.3
1946-07,80.9
1946-08,80.1
1946-09,70.5
1946-10,62.8
1946-11,49.6
1946-12,46.1
1947-01,38.7
1947-02,39.5
1947-03,46.6
1947-04,57.8
1947-05,67.3
1947-06,78.4
1947-07,80.3
1947-08,78.5
1947-09,74.3
1947-10,66.7
1947-11,44.7
1947-12,42.3
1948-01,35.4
1948-02,41.1
1948-03,46.9
1948-04,65.8
1948-05,70.5
1948-06,79.4
1948-07,80.4
1948-08,79.6
1948-09,71.8
1948-10,60.2
1948-11,46.7
1948-12,44.6
1949-01,31.8
1949-02,43.7
1949-03,50.9
1949-04,57.1
1949-05,68.9
1949-06,76
1949-07,80.2
1949-08,76.9
1949-09,70.1
1949-10,59.2
1949-11,54.4
1949-12,42.2
1950-01,44.4
1950-02,47.8
1950-03,50.5
1950-04,60.4
1950-05,68.6
1950-06,77.5
1950-07,76.2
1950-08,75.7
1950-09,68.6
1950-10,64.1
1950-11,48.6
1950-12,41.1
1951-01,38.6
1951-02,44.4
1951-03,48.8
1951-04,57.4
1951-05,68.8
1951-06,77.6
1951-07,82.7
1951-08,80.3
1951-09,72.9
1951-10,63.3
1951-11,46.3
1951-12,43.5
1952-01,45.6
1952-02,46.5
1952-03,49
1952-04,58.7
1952-05,69.3
1952-06,81.1
1952-07,78.3
1952-08,82.9
1952-09,70.9
1952-10,59.7
1952-11,46.4
1952-12,41.5
1953-01,48
1953-02,43.7
1953-03,56.3
1953-04,59.5
1953-05,68.2
1953-06,83.9
1953-07,80.8
1953-08,78.2
1953-09,72.9
1953-10,61.6
1953-11,49.6
1953-12,39.5
1954-01,42.6
1954-02,50.2
1954-03,49
1954-04,65
1954-05,64.3
1954-06,77.9
1954-07,82.3
1954-08,79.3
1954-09,74.5
1954-10,62.8
1954-11,51.2
1954-12,44
1955-01,40
1955-02,40.7
1955-03,50.6
1955-04,61.7
1955-05,68.7
1955-06,76
1955-07,78.8
1955-08,78.3
1955-09,72.8
1955-10,61.6
1955-11,48.8
1955-12,44.6
1956-01,42
1956-02,40
1956-03,53.1
1956-04,59.2
1956-05,72.9
1956-06,80
1956-07,80.2
1956-08,78.5
1956-09,74.2
1956-10,64.2
1956-11,47
1956-12,45.3
1957-01,41.1
1957-02,50.3
1957-03,50.5
1957-04,56.8
1957-05,65.2
1957-06,74.8
1957-07,81.4
1957-08,78.9
1957-09,69.3
1957-10,58.5
1957-11,44.6
1957-12,45.6
1958-01,38
1958-02,41
1958-03,42.2
1958-04,56.1
1958-05,69.1
1958-06,79.3
1958-07,81
1958-08,79.6
1958-09,72.2
1958-10,59.9
1958-11,50.9
1958-12,41.4
1959-01,39.2
1959-02,43.1
1959-03,50.4
1959-04,59.1
1959-05,70.2
1959-06,76.6
1959-07,77
1959-08,79.2
1959-09,73.4
1959-10,58.7
1959-11,45.4
1959-12,43.7
1960-01,38.3
1960-02,37.5
1960-03,45.9
1960-04,62.6
1960-05,69.1
1960-06,78.9
1960-07,77.9
1960-08,78.5
1960-09,73.2
1960-10,63
1960-11,51.9
1960-12,37.3
1961-01,36.8
1961-02,42.8
1961-03,51.1
1961-04,60.5
1961-05,70.1
1961-06,74.9
1961-07,76
1961-08,76.1
1961-09,70.4
1961-10,61.6
1961-11,45.1
1961-12,40.4
1962-01,35
1962-02,49
1962-03,47.8
1962-04,60.7
1962-05,74.5
1962-06,75.1
1962-07,79.3
1962-08,79
1962-09,71.1
1962-10,63.3
1962-11,51.4
1962-12,43.4
1963-01,33.9
1963-02,43.5
1963-03,53.2
1963-04,64.9
1963-05,70.8
1963-06,75.9
1963-07,81.3
1963-08,79.2
1963-09,73.2
1963-10,66.1
1963-11,51.3
1963-12,37.6
1964-01,39.6
1964-02,37.6
1964-03,49.6
1964-04,61.8
1964-05,71.3
1964-06,76.7
1964-07,82.1
1964-08,80.2
1964-09,70.8
1964-10,62.1
1964-11,51
1964-12,42.4
1965-01,44.2
1965-02,40.3
1965-03,42.6
1965-04,63.7
1965-05,70.5
1965-06,76.9
1965-07,81.6
1965-08,78
1965-09,72.6
1965-10,62.7
1965-11,56.9
1965-12,46.4
1966-01,34.3
1966-02,39.7
1966-03,54.3
1966-04,59.4
1966-05,68.5
1966-06,77.2
1966-07,84
1966-08,76
1966-09,71
1966-10,59.9
1966-11,55
1966-12,38.9
1967-01,41.3
1967-02,42.7
1967-03,56.3
1967-04,64.7
1967-05,66.8
1967-06,76.1
1967-07,77.5
1967-08,75.9
1967-09,68.7
1967-10,61.6
1967-11,50.1
1967-12,37.8
1968-01,40.1
1968-02,39.8
1968-03,49.1
1968-04,56.4
1968-05,66.6
1968-06,75.3
1968-07,76.3
1968-08,76
1968-09,68.2
1968-10,62.7
1968-11,47.6
1968-12,40.9
1969-01,44.3
1969-02,43.7
1969-03,41.5
1969-04,61.4
1969-05,68.1
1969-06,76.5
1969-07,83.3
1969-08,80.3
1969-09,70.5
1969-10,56.9
1969-11,49.2
1969-12,44.1
1970-01,37.4
1970-02,44.9
1970-03,45.9
1970-04,58.5
1970-05,68.5
1970-06,75.5
1970-07,80.7
1970-08,79.5
1970-09,71.4
1970-10,56.8
1970-11,48.5
1970-12,45.9
1971-01,41.6
1971-02,42.1
1971-03,50.3
1971-04,59.5
1971-05,68.3
1971-06,78.2
1971-07,79.8
1971-08,73
1971-09,69.7
1971-10,61.9
1971-11,51
1971-12,43.5
1972-01,41.1
1972-02,45.4
1972-03,56.3
1972-04,64.9
1972-05,67.1
1972-06,76.8
1972-07,76.6
1972-08,74.6
1972-09,71.4
1972-10,60.3
1972-11,42.5
1972-12,38.1
1973-01,34.7
1973-02,39.9
1973-03,50.8
1973-04,54.3
1973-05,66.9
1973-06,76
1973-07,77.8
1973-08,77.7
1973-09,70.4
1973-10,63.9
1973-11,53.4
1973-12,42.6
1974-01,40
